1.73309，3.82346，0.032679,1.61715，4.04558，-0.405787,1.67034，3.90903，-0.268184
1.61715，4.04558，-0.405787,1.58101，4.16305，0.042109,1.07531，4.45409，0.335027
1.71332，4.84738，-0.234668,1.6187，4.03507，0.038985,1.79233，4.93813，-0.232122
1.79233，4.93813，-0.232122,1.87678，5.00522，0.063238,2.21676，5.16242，0.06817
2.33027，5.16976，0.068716,2.57041，5.15433，-0.224386,2.45157，5.17438，-0.224215
1.79291，4.92936，0.061058,1.71441，4.83833，0.05851,2.57041，5.15433，-0.224386
2.00001，3.60707，-0.310533,1.80323，3.73879，0.030645,2.79252，5.05676，0.067137
1.23724，3.70389，0.363225,1.73309，3.82346，0.032679,2.56967，5.14726，0.068819
1.585，4.17504，-0.40257,1.65346，3.91007，-0.409059,1.54273，4.39548，0.046696
1.63164，5.34606，0.908859,1.68835，5.44712，-0.636972,1.54148，4.40613，-0.396714
1.47945，5.18464，0.075524,1.34715，4.88213，0.738144,1.37672，4.94849，-0.678988
1.75308，5.39165，-0.552454,1.68835，5.44712，-0.636972,1.68354，5.35199，0.792477
1.28174，4.93483，0.834995,0.99887，4.55337，0.046727,1.6579，5.37843，0.847402
1.83884，5.19642，0.768197,1.58319，4.71049，0.818083,1.31354，4.91565，0.780273
1.92898，5.11828，0.829488,2.20592，5.64485，0.078047,2.02437，5.43859，-0.279068
2.11262，5.34334，0.452919,1.40389，4.52454，-0.33571,1.31154，4.58235，0.399677
1.92788，3.60653，-0.311487,1.40172，4.50498，0.429472,1.80323，3.73879，0.030645
1.30764，4.96398，0.898174,1.65733，5.32037，0.849774,1.80297，3.74551，-0.309252
2.64175，5.86106，0.08727,1.33885，4.94479，0.839269,2.7961，5.49983，-0.226754
2.46123，5.48917，-0.215687,2.94626，5.4762，0.366874,2.94584，5.52645，0.368225
2.44873，5.8972，0.08764,2.64175，5.86106，0.08727,2.7961，5.49983，-0.226754
2.27944，5.7765，0.084081,2.44873，5.8972，0.08764,2.7961，5.49983，-0.226754
1.43055，3.6036，-0.313942,1.72707，3.74201，-0.262707,2.76723，5.50738，0.365748
1.17887，3.79585，0.030329,1.65447，3.82387，-0.260545,1.72707，3.74201，-0.262707
1.65416，5.3573，0.071653,1.85273，5.05241，-0.235336,1.62264，3.906，-0.281405
1.78907，5.40729，0.073242,1.93384，5.11759，-0.226682,1.85273，5.05241，-0.235336
2.00163，5.57974，-0.215117,2.01779，5.16472，-0.225238,1.93384，5.11759，-0.226682
2.00111，5.57183，0.078059,2.10602，5.20331，-0.224002,2.01779，5.16472，-0.225238
2.20575，5.23452，-0.222921,1.06051，4.32357，-0.400252,1.47792，4.41428，-0.395925
1.47792，4.41428，-0.395925,1.16144，4.61451，0.051201,1.47927，4.41171，-0.246626
1.47927，4.41171，-0.246626,1.34235，4.9252，-0.233716,1.51069，4.53454，-0.242786
1.55109，4.65532，-0.239585,1.56218，5.20497，-0.22594,1.61163，4.76811，-0.24426
1.51069，4.53454，-0.242786,1.32248，4.93199，0.066913,1.55109，4.65532，-0.239585
1.5368，5.22512，0.071422,1.62264，3.906，-0.281405,1.69891，4.8668，-0.240115
1.56218，5.20497，-0.22594,1.69891，4.8668，-0.240115,1.61163，4.76811，-0.24426
1.07759，4.47286，-0.396312,1.77864，4.96107，-0.235518,1.92698，3.59722，0.02778
1.77864，4.96107，-0.235518,1.43055，3.6036，-0.313942,2.76723，5.50738，0.365748
1.7263，3.74117，-0.308848,2.94736，5.48326，0.078492,1.33885，4.94479，0.839269
