-0.0206686，-0.367868，-0.929648,0，-0.334425，-0.942422,0.0206686，-0.367868，-0.929648
0.0206686，-0.367868，-0.929648,0，-0.334425，-0.942422,0.041302，-0.33414，-0.941618
0.0206686，-0.367868，-0.929648,0，-0.400968，-0.916092,-0.0206686，-0.367868，-0.929648
-0.041302，-0.33414，-0.941618,0，-0.334425，-0.942422,-0.0206686，-0.367868，-0.929648
-0.0411968，-0.400628，-0.915314,-0.0618653，-0.367185，-0.928088,-0.0206686，-0.367868，-0.929648
-0.0823236，-0.399607，-0.912982,-0.0618653，-0.367185，-0.928088,-0.0411968，-0.400628，-0.915314
-0.0206686，-0.367868，-0.929648,0，-0.400968，-0.916092,-0.0411968，-0.400628，-0.915314
-0.0206686，-0.367868，-0.929648,-0.0618653，-0.367185，-0.928088,-0.041302，-0.33414，-0.941618
0.0206685，-0.300528，-0.953549,0，-0.334425，-0.942422,-0.0206685，-0.300528，-0.953549
0.041302，-0.33414，-0.941618,0，-0.334425，-0.942422,0.0206685，-0.300528，-0.953549
-0.0206685，-0.300528，-0.953549,0，-0.266405，-0.963861,0.0206685，-0.300528，-0.953549
-0.0206685，-0.300528，-0.953549,0，-0.334425，-0.942422,-0.041302，-0.33414，-0.941618
0.0206686，-0.367868，-0.929648,0.0618653，-0.367185，-0.928088,0.0411968，-0.400628，-0.915314
0.041302，-0.33414，-0.941618,0.0618653，-0.367185，-0.928088,0.0206686，-0.367868，-0.929648
0.0411968，-0.400628，-0.915314,0，-0.400968，-0.916092,0.0206686，-0.367868，-0.929648
0.0411968，-0.400628，-0.915314,0.0618653，-0.367185，-0.928088,0.0823236，-0.399607，-0.912982
0.0821198，-0.33352，-0.93916,0.0614529，-0.30008，-0.951932,0.102238，-0.299185，-0.948702
0.041302，-0.33414，-0.941618,0.0614529，-0.30008，-0.951932,0.0821198，-0.33352，-0.93916
0.102238，-0.299185，-0.948702,0.1228，-0.332342，-0.93513,0.0821198，-0.33352，-0.93916
0.102238，-0.299185，-0.948702,0.0614529，-0.30008，-0.951932,0.0815011，-0.265518，-0.960655
0.102238，-0.299185，-0.948702,0.122082，-0.264412，-0.956652,0.142749，-0.297852，-0.943879
0.142749，-0.297852，-0.943879,0.122082，-0.264412，-0.956652,0.16246，-0.262866，-0.951057
0.142749，-0.297852，-0.943879,0.1228，-0.332342，-0.93513,0.102238，-0.299185，-0.948702
0.0815011，-0.265518，-0.960655,0.122082，-0.264412，-0.956652,0.102238，-0.299185，-0.948702
